strain,antibiotic,group,dilution,colonies,cfu_per_ml
PY012,norfloxacin,control,0.001,176,1760000
PY012,norfloxacin,treated,0.001,90,900000
PY001,norfloxacin,treated,0.001,57,570000
MA012,norfloxacin,control,0.001,89,890000
MA012,norfloxacin,treated,0.001,31,310000
PY012,ciprofloxacin,control,0.001,158,1580000
PY012,ciprofloxacin,treated,0.001,49,490000
PY001,ciprofloxacin,control,0.001,189,1890000
PY001,ciprofloxacin,treated,0.001,47,470000
MA012,ciprofloxacin,control,0.001,37,370000
MA012,ciprofloxacin,treated,0.001,33,330000
