experiment,treatment,strain,t_start_min,t_end_min,OD600_start,OD600_end,fold_change,growth_rate_mu_per_min,doubling_time_min,fit_r_squared
baseline_growth_fig5,none,MA012,0,360,0.01,1.0,100.0,0.01125,61.6,0.924
baseline_growth_fig5,none,PY001,0,360,0.02,1.05,52.5,0.00997,69.5,0.963
baseline_growth_fig5,none,PY012,0,360,0.02,1.2,60.0,0.01033,67.1,0.953
ciprofloxacin_fig7,ciprofloxacin,MA012,0,300,0.01,0.24,24.0,0.01009,68.7,0.869
ciprofloxacin_fig7,control,MA012,0,300,0.01,0.46,46.0,0.01202,57.7,0.909
ciprofloxacin_fig7,ciprofloxacin,PY001,0,300,0.01,0.27,27.0,0.01016,68.2,0.84
ciprofloxacin_fig7,control,PY001,0,300,0.01,0.51,51.0,0.01205,57.5,0.895
ciprofloxacin_fig7,ciprofloxacin,PY012,0,300,0.01,0.32,32.0,0.01055,65.7,0.838
ciprofloxacin_fig7,control,PY012,0,300,0.02,0.61,30.5,0.01041,66.6,0.899
norfloxacin_fig6,control,MA012,0,300,0.01,0.47,47.0,0.01186,58.4,0.892
norfloxacin_fig6,norfloxacin,MA012,0,300,0.01,0.31,31.0,0.01072,64.6,0.894
norfloxacin_fig6,control,PY001,0,300,0.02,0.54,27.0,0.01045,66.3,0.935
norfloxacin_fig6,norfloxacin,PY001,0,300,0.01,0.31,31.0,0.01057,65.6,0.855
norfloxacin_fig6,control,PY012,0,300,0.02,0.64,32.0,0.01065,65.1,0.91
norfloxacin_fig6,norfloxacin,PY012,0,300,0.02,0.41,20.5,0.00941,73.7,0.912
